courier_vendor,month,total_shipments,on_time_count,in_full_count,avg_delay_days,total_freight_usd,total_order_value,otif_pct,on_time_pct,cost_per_ship,invoiced_usd,invoice_variance_usd,sla_score
SingPost,2024-10,128,102,128,1.4,5201.6,811866.16,79.7,79.7,40.64,5688.63,487.03,77.4
SingPost,2024-11,106,76,106,1.5,4128.51,598643.53,71.7,71.7,38.95,4430.56,302.05,71.2
SingPost,2024-12,123,94,123,1.1,5229.92,745243.6900000001,76.4,76.4,42.52,5514.68,284.76,76.9
Toll Group,2024-01,129,106,129,1.0,5327.33,880354.83,82.2,82.2,41.3,5709.67,382.34,81.5
Toll Group,2024-02,137,105,137,1.3,5649.9,789846.71,76.6,76.6,41.24,6061.0,411.1,75.8
Toll Group,2024-03,131,102,131,1.0,5514.49,786432.05,77.9,77.9,42.1,6071.85,557.36,78.5
Toll Group,2024-04,102,86,102,0.7,4580.7300000000005,688664.59,84.3,84.3,44.91,5014.2,433.47,84.8
Toll Group,2024-05,118,97,118,1.2,5059.19,690872.43,82.2,82.2,42.87,5626.35,567.16,80.3
Toll Group,2024-06,126,103,126,0.9,5467.46,691386.85,81.7,81.7,43.39,5921.56,454.1,81.8
Toll Group,2024-07,119,94,119,1.0,5399.75,875854.08,79.0,79.0,45.38,5714.94,315.19,79.3
Toll Group,2024-08,121,91,121,1.2,5176.96,594906.53,75.2,75.2,42.78,5694.28,517.32,75.4
Toll Group,2024-09,116,94,116,1.0,5056.16,778117.42,81.0,81.0,43.59,5578.23,522.07,80.7
Toll Group,2024-10,117,92,117,1.2,4718.09,721841.26,78.6,78.6,40.33,5139.37,421.28,77.8
Toll Group,2024-11,125,107,125,0.8,5314.6,787739.24,85.6,85.6,42.52,5867.15,552.55,85.1
Toll Group,2024-12,150,121,150,1.0,6694.54,987967.28,80.7,80.7,44.63,7260.67,566.13,80.5
